symbol,entry_ts,r,funding,year,tf,ob_thresh,hold_bars,atr_mult
ALGOUSDT,1673092800000,-1.0,0.0001,2023,4h,65,10,2.0
ALGOUSDT,1678824000000,0.8689246559039475,0.0001,2023,4h,65,10,2.0
ALGOUSDT,1679083200000,0.47595066159999927,0.0001,2023,4h,65,10,2.0
ALGOUSDT,1687305600000,-1.0,0.0001,2023,4h,65,10,2.0
ALGOUSDT,1687449600000,-1.0,0.0001,2023,4h,65,10,2.0
ALGOUSDT,1687579200000,-1.0,0.0001,2023,4h,65,10,2.0
ALGOUSDT,1689292800000,0.8491892375585574,0.0001,2023,4h,65,10,2.0
ALGOUSDT,1691352000000,-1.0,0.0001,2023,4h,65,10,2.0
ALGOUSDT,1691467200000,-1.0,0.0001,2023,4h,65,10,2.0
ALGOUSDT,1693310400000,1.046233764472689,0.0001,2023,4h,65,10,2.0
ALGOUSDT,1694808000000,0.12463485351506244,0.0001,2023,4h,65,10,2.0
ALGOUSDT,1697904000000,-0.11631155696636097,0.0001,2023,4h,65,10,2.0
ALGOUSDT,1707336000000,-0.8507280891893794,0.0001,2024,4h,65,10,2.0
ALGOUSDT,1713916800000,-1.0,0.0001,2024,4h,65,10,2.0
