symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,initial_risk,exit_reason,bars_held,net_r,mae_r,mfe_r,atr_pct_at_entry,month,year
MTL/USDT,2023-04-01 00:00:00+00:00,2023-04-19 00:00:00+00:00,1.326,1.205,1.1214486919171915,0.20455130808280844,midline_exit,19,-0.5915386273209048,-0.7919773357519558,0.08310873276409358,0.7817460317460317,2023-04,2023
QTUM/USDT,2023-04-16 00:00:00+00:00,2023-04-19 00:00:00+00:00,3.415,3.073564727648024,3.073564727648024,0.3414352723519764,initial_stop,4,-0.9999999999999996,-1.2418166321226174,0.05564744342058937,0.4722222222222222,2023-04,2023
ZRX/USDT,2023-03-31 00:00:00+00:00,2023-04-20 00:00:00+00:00,0.2952,0.2655,0.25917792398817774,0.03602207601182227,midline_exit,21,-0.8244944014401782,-0.9327613430434343,2.6567041824183515,0.7698412698412699,2023-04,2023
ADA/USDT,2023-03-31 00:00:00+00:00,2023-04-21 00:00:00+00:00,0.3989,0.3824,0.3534935926561811,0.04540640734381888,midline_exit,22,-0.36338483851103637,-0.6188553916460686,1.3830647186965546,0.6309523809523809,2023-04,2023
FET/USDT,2023-04-14 00:00:00+00:00,2023-04-21 00:00:00+00:00,0.405,0.34921287508930887,0.34921287508930887,0.05578712491069115,initial_stop,8,-1.0000000000000002,-1.3623215055744025,0.770787167627622,0.6746031746031746,2023-04,2023
BTC/USDT,2023-04-10 00:00:00+00:00,2023-04-21 00:00:00+00:00,29637.34,27676.678565801714,27676.678565801714,1960.6614341982852,initial_stop,12,-1.0000000000000004,-1.2813737018432743,0.6950001546581099,0.7817460317460317,2023-04,2023
ETH/USDT,2023-03-14 00:00:00+00:00,2023-04-21 00:00:00+00:00,1699.4,1848.78,1546.0649602915553,153.33503970844484,midline_exit,39,0.9742065498142813,-0.5765153233604406,2.883489650119739,0.5555555555555556,2023-04,2023
TRX/USDT,2023-05-22 00:00:00+00:00,2023-06-01 00:00:00+00:00,0.078,0.07418402546429055,0.07418402546429055,0.0038159745357094553,initial_stop,11,-0.9999999999999983,-1.0325016488265129,0.4926657613689978,0.5555555555555556,2023-06,2023
TRX/USDT,2023-06-02 00:00:00+00:00,2023-06-05 00:00:00+00:00,0.08266,0.07876780974601122,0.07876780974601122,0.003892190253988779,initial_stop,4,-0.9999999999999998,-1.5030097755382898,0.8067437085795284,0.7301587301587301,2023-06,2023
MTL/USDT,2023-06-04 00:00:00+00:00,2023-06-08 00:00:00+00:00,1.205,2.1433941516100696,1.068609694531061,0.13639030546893913,chandelier_stop,5,6.880211525178928,-0.5865519526841949,11.694379556641124,0.5476190476190477,2023-06,2023
ETC/USDT,2023-06-30 00:00:00+00:00,2023-07-05 00:00:00+00:00,20.92,18.716569536348633,18.716569536348633,2.2034304636513675,initial_stop,6,-1.0000000000000007,-1.0529036601207111,1.0801339271927979,0.5357142857142857,2023-07,2023
BTC/USDT,2023-06-20 00:00:00+00:00,2023-07-24 00:00:00+00:00,28307.99,29176.5,26570.65591943363,1737.3340805663715,midline_exit,35,0.4999096084714253,-0.028779726685439787,2.012399364698028,0.6587301587301587,2023-07,2023
SOL/USDT,2023-07-13 00:00:00+00:00,2023-07-24 00:00:00+00:00,26.01,23.298123575134326,23.298123575134326,2.7118764248656757,initial_stop,12,-0.9999999999999999,-1.1504949013871606,2.2567399988748145,0.5992063492063492,2023-07,2023
TRX/USDT,2023-06-30 00:00:00+00:00,2023-07-31 00:00:00+00:00,0.0762,0.07792,0.07143281036900699,0.004767189630993008,midline_exit,32,0.3607995765089216,-0.21815788347051066,3.8156652887774913,0.5952380952380952,2023-07,2023
HBAR/USDT,2023-08-08 00:00:00+00:00,2023-08-11 00:00:00+00:00,0.0621,0.056456684021164896,0.056456684021164896,0.005643315978835107,initial_stop,4,-0.9999999999999999,-1.0632046871914702,0.30124132803758175,0.5357142857142857,2023-08,2023
SC/USDT,2023-08-05 00:00:00+00:00,2023-08-14 00:00:00+00:00,0.00383,0.0034006001499158572,0.0034006001499158572,0.00042939985008414296,initial_stop,10,-0.9999999999999998,-1.0246859655721356,0.020959485659429785,0.6666666666666666,2023-08,2023
HBAR/USDT,2023-08-14 00:00:00+00:00,2023-08-17 00:00:00+00:00,0.0654,0.059767931867716007,0.059767931867716007,0.005632068132283996,initial_stop,4,-0.9999999999999996,-2.2904552461031065,1.864324037525783,0.5873015873015873,2023-08,2023
