timeframe,linreg_n,linreg_mult,stop_mult,filter_mode,trades,total_r,avg_r,profit_factor,win_rate_pct
4h,20,3.0,3.0,ema200_price,3576,-4.571,-0.0013,0.996,35.2
4h,25,3.0,3.0,ema200_price,3081,9.004,0.0029,1.009,34.5
4h,30,3.0,3.0,ema200_price,2769,85.191,0.0308,1.09,35.7
4h,40,3.0,3.0,ema200_price,2338,81.873,0.035,1.091,36.2
4h,55,3.0,3.0,ema200_price,1949,52.315,0.0268,1.059,32.2
4h,10,1.0,2.0,linreg_slope_positive,18375,44.702,0.0024,1.012,35.6
4h,15,1.0,2.0,linreg_slope_positive,14129,-149.525,-0.0106,0.959,33.3
4h,20,1.0,2.0,linreg_slope_positive,11483,15.971,0.0014,1.005,33.0
4h,25,1.0,2.0,linreg_slope_positive,9694,34.782,0.0036,1.012,32.3
4h,30,1.0,2.0,linreg_slope_positive,8317,46.226,0.0056,1.017,32.0
4h,40,1.0,2.0,linreg_slope_positive,6663,-53.151,-0.008,0.979,31.4
4h,55,1.0,2.0,linreg_slope_positive,5138,108.285,0.0211,1.05,31.0
4h,10,1.0,3.0,linreg_slope_positive,18360,33.731,0.0018,1.013,35.7
4h,15,1.0,3.0,linreg_slope_positive,14090,-90.53,-0.0064,0.963,33.5
4h,20,1.0,3.0,linreg_slope_positive,11427,18.679,0.0016,1.009,33.2
4h,25,1.0,3.0,linreg_slope_positive,9623,23.528,0.0024,1.012,32.6
4h,30,1.0,3.0,linreg_slope_positive,8216,54.384,0.0066,1.03,32.5
4h,40,1.0,3.0,linreg_slope_positive,6519,-13.665,-0.0021,0.992,32.2
4h,55,1.0,3.0,linreg_slope_positive,4974,78.514,0.0158,1.055,32.1
4h,10,1.5,2.0,linreg_slope_positive,13760,-1.54,-0.0001,1.0,35.5
4h,15,1.5,2.0,linreg_slope_positive,10460,-71.246,-0.0068,0.976,34.5
4h,20,1.5,2.0,linreg_slope_positive,8469,29.618,0.0035,1.011,33.7
4h,25,1.5,2.0,linreg_slope_positive,7139,46.773,0.0066,1.019,32.9
4h,30,1.5,2.0,linreg_slope_positive,6225,-2.435,-0.0004,0.999,32.1
4h,40,1.5,2.0,linreg_slope_positive,4978,-55.001,-0.011,0.973,32.6
4h,55,1.5,2.0,linreg_slope_positive,3935,31.164,0.0079,1.017,31.0
4h,10,1.5,3.0,linreg_slope_positive,13748,-5.206,-0.0004,0.998,35.5
4h,15,1.5,3.0,linreg_slope_positive,10427,-38.049,-0.0036,0.981,34.8
4h,20,1.5,3.0,linreg_slope_positive,8423,24.588,0.0029,1.014,33.9
4h,25,1.5,3.0,linreg_slope_positive,7073,41.908,0.0059,1.025,33.4
4h,30,1.5,3.0,linreg_slope_positive,6126,34.099,0.0056,1.022,32.9
4h,40,1.5,3.0,linreg_slope_positive,4853,-10.996,-0.0023,0.992,33.9
4h,55,1.5,3.0,linreg_slope_positive,3778,38.097,0.0101,1.031,32.8
4h,10,2.0,2.0,linreg_slope_positive,10259,37.959,0.0037,1.015,35.5
4h,15,2.0,2.0,linreg_slope_positive,7689,-20.263,-0.0026,0.991,34.6
4h,20,2.0,2.0,linreg_slope_positive,6264,4.215,0.0007,1.002,33.5
4h,25,2.0,2.0,linreg_slope_positive,5241,57.768,0.011,1.029,33.0
4h,30,2.0,2.0,linreg_slope_positive,4582,-24.186,-0.0053,0.987,32.2
4h,40,2.0,2.0,linreg_slope_positive,3717,-91.948,-0.0247,0.947,32.3
4h,55,2.0,2.0,linreg_slope_positive,2953,0.037,0.0,1.0,30.7
4h,10,2.0,3.0,linreg_slope_positive,10250,22.395,0.0022,1.013,35.6
4h,15,2.0,3.0,linreg_slope_positive,7663,-8.255,-0.0011,0.995,34.9
4h,20,2.0,3.0,linreg_slope_positive,6221,7.922,0.0013,1.005,33.9
4h,25,2.0,3.0,linreg_slope_positive,5186,38.381,0.0074,1.028,33.8
4h,30,2.0,3.0,linreg_slope_positive,4493,30.511,0.0068,1.024,33.6
4h,40,2.0,3.0,linreg_slope_positive,3617,-27.376,-0.0076,0.976,34.3
4h,55,2.0,3.0,linreg_slope_positive,2802,41.242,0.0147,1.041,33.7
4h,10,2.5,2.0,linreg_slope_positive,7607,-6.488,-0.0009,0.997,34.9
4h,15,2.5,2.0,linreg_slope_positive,5626,-46.36,-0.0082,0.975,34.4
4h,20,2.5,2.0,linreg_slope_positive,4486,76.632,0.0171,1.046,34.2
4h,25,2.5,2.0,linreg_slope_positive,3760,90.268,0.024,1.057,32.7
4h,30,2.5,2.0,linreg_slope_positive,3266,10.277,0.0031,1.007,31.5
4h,40,2.5,2.0,linreg_slope_positive,2688,-107.558,-0.04,0.921,32.0
4h,55,2.5,2.0,linreg_slope_positive,2134,-89.343,-0.0419,0.927,28.2
4h,10,2.5,3.0,linreg_slope_positive,7600,-5.16,-0.0007,0.996,35.0
4h,15,2.5,3.0,linreg_slope_positive,5604,-31.028,-0.0055,0.975,34.8
4h,20,2.5,3.0,linreg_slope_positive,4456,54.619,0.0123,1.048,34.9
4h,25,2.5,3.0,linreg_slope_positive,3721,61.78,0.0166,1.058,33.6
4h,30,2.5,3.0,linreg_slope_positive,3206,28.922,0.009,1.029,33.1
4h,40,2.5,3.0,linreg_slope_positive,2612,-51.993,-0.0199,0.944,34.6
4h,55,2.5,3.0,linreg_slope_positive,2011,-21.201,-0.0105,0.975,32.1
4h,10,3.0,2.0,linreg_slope_positive,5622,-12.845,-0.0023,0.992,34.4
4h,15,3.0,2.0,linreg_slope_positive,4068,-70.685,-0.0174,0.952,34.3
4h,20,3.0,2.0,linreg_slope_positive,3196,1.489,0.0005,1.001,34.0
4h,25,3.0,2.0,linreg_slope_positive,2690,9.265,0.0034,1.008,32.5
4h,30,3.0,2.0,linreg_slope_positive,2313,12.154,0.0053,1.011,31.0
4h,40,3.0,2.0,linreg_slope_positive,1884,-105.455,-0.056,0.899,30.5
4h,55,3.0,2.0,linreg_slope_positive,1533,-145.569,-0.095,0.852,25.2
4h,10,3.0,3.0,linreg_slope_positive,5619,-18.239,-0.0032,0.984,34.6
4h,15,3.0,3.0,linreg_slope_positive,4055,-56.139,-0.0138,0.944,34.8
4h,20,3.0,3.0,linreg_slope_positive,3171,-3.715,-0.0012,0.996,34.9
4h,25,3.0,3.0,linreg_slope_positive,2657,1.686,0.0006,1.002,33.7
4h,30,3.0,3.0,linreg_slope_positive,2270,6.648,0.0029,1.008,32.9
4h,40,3.0,3.0,linreg_slope_positive,1826,-62.301,-0.0341,0.914,33.7
4h,55,3.0,3.0,linreg_slope_positive,1444,-71.695,-0.0497,0.895,29.6
8h,10,1.0,2.0,ema200_price,9455,15.52,0.0016,1.007,36.1
8h,15,1.0,2.0,ema200_price,7314,0.401,0.0001,1.0,35.1
8h,20,1.0,2.0,ema200_price,6038,71.953,0.0119,1.038,34.3
8h,25,1.0,2.0,ema200_price,5302,89.309,0.0168,1.049,32.6
8h,30,1.0,2.0,ema200_price,4787,130.638,0.0273,1.073,32.6
8h,40,1.0,2.0,ema200_price,4084,62.941,0.0154,1.038,32.2
8h,55,1.0,2.0,ema200_price,3430,-7.604,-0.0022,0.995,29.8
8h,10,1.0,3.0,ema200_price,9429,3.41,0.0004,1.002,36.3
8h,15,1.0,3.0,ema200_price,7272,0.173,0.0,1.0,35.5
8h,20,1.0,3.0,ema200_price,5974,49.064,0.0082,1.039,34.9
8h,25,1.0,3.0,ema200_price,5223,65.976,0.0126,1.054,33.2
8h,30,1.0,3.0,ema200_price,4683,100.974,0.0216,1.085,33.3
8h,40,1.0,3.0,ema200_price,3943,55.306,0.014,1.049,33.4
8h,55,1.0,3.0,ema200_price,3262,10.056,0.0031,1.009,31.6
8h,10,1.5,2.0,ema200_price,7778,11.463,0.0015,1.006,36.2
8h,15,1.5,2.0,ema200_price,6026,-36.683,-0.0061,0.98,35.2
8h,20,1.5,2.0,ema200_price,4930,96.025,0.0195,1.059,35.1
8h,25,1.5,2.0,ema200_price,4318,60.206,0.0139,1.038,33.2
8h,30,1.5,2.0,ema200_price,3873,108.39,0.028,1.07,33.6
8h,40,1.5,2.0,ema200_price,3352,79.867,0.0238,1.054,32.6
8h,55,1.5,2.0,ema200_price,2857,-51.083,-0.0179,0.965,29.3
8h,10,1.5,3.0,ema200_price,7755,7.812,0.001,1.006,36.5
8h,15,1.5,3.0,ema200_price,5994,-31.104,-0.0052,0.975,35.5
8h,20,1.5,3.0,ema200_price,4880,65.793,0.0135,1.06,35.8
8h,25,1.5,3.0,ema200_price,4249,49.078,0.0116,1.045,34.1
8h,30,1.5,3.0,ema200_price,3781,94.037,0.0249,1.09,34.7
