tf,lookback_n,hold_bars,atr_mult,n,avg_r,total_r,win_rate,pf,y2019_n,y2019_total,y2019_avg,y2020_n,y2020_total,y2020_avg,y2021_n,y2021_total,y2021_avg,y2022_n,y2022_total,y2022_avg,y2023_n,y2023_total,y2023_avg,y2024_n,y2024_total,y2024_avg,y2025_n,y2025_total,y2025_avg,y2026_n,y2026_total,y2026_avg,y2022_positive,r2025_share,flag_2025_conc
8h,5,15,2.0,5110,0.07184019214371425,367.1033818543798,0.4945205479452055,1.1721278935033677,1,0.7888954615366028,0.7888954615366028,118,-29.7624763160766,-0.2522243755599712,351,-40.2426814217659,-0.11465151402212508,860,161.75863981049577,0.18809144164011135,910,-34.60243678067916,-0.03802465580294413,1124,-15.129834783609082,-0.013460707102855055,1304,306.51849474087646,0.23506019535343287,442,17.774781143601754,0.04021443697647455,True,0.8349650531480646,True
2h,10,15,2.0,11371,0.07104030603131238,807.799319882053,0.4732213525635388,1.1701523684764177,16,11.680684571846678,0.7300427857404174,457,-19.14223843003449,-0.04188673617075381,1269,9.02986615703152,0.007115733772286462,1519,252.4436768522425,0.16619070233854016,1986,91.5456053463533,0.04609547096996641,2778,62.39795160746653,0.022461465661435035,2780,355.0900903129022,0.1277302483139936,566,44.753683464244915,0.07907011212764119,True,0.43957710977616193,True
1d,10,20,3.0,1191,0.0708207127013798,84.34746882734333,0.5642317380352645,1.1972942807516687,0,0.0,,2,-0.7469611907073512,-0.3734805953536756,27,-6.628647254988056,-0.24550545388844652,202,40.50792271076902,0.20053427084539122,256,-70.08944631593123,-0.27378689967160635,240,24.566634752284074,0.10236097813451697,361,88.4640093991627,0.24505265761540915,103,8.273956726754166,0.08032967695877831,True,1.0488045536997181,True
4h,5,15,2.0,9447,0.07032961687664384,664.4038906336543,0.47496559754419393,1.1669439643023418,7,7.431540126253503,1.061648589464786,324,-55.53287235649303,-0.17139775418670689,899,-64.4603695766748,-0.07170230208751367,1375,271.3993266931162,0.19738132850408452,1624,4.727184778684313,0.002910828065692311,2171,69.81468409363961,0.032157846196978174,2419,363.1573842830577,0.15012707080738227,628,67.86701259207086,0.10806849138864787,True,0.5465912969544892,True
6h,5,20,3.0,5553,0.06325088751256053,351.2321783572486,0.5262020529443544,1.190510809847172,3,1.0374191152720247,0.3458063717573416,133,-26.064745765449054,-0.1959755320710455,408,-20.196251551202664,-0.049500616547065356,918,104.47142811589313,0.11380329860119077,939,22.20124497716433,0.02364349837823677,1187,9.04279542818012,0.007618193284060759,1526,244.3945526158815,0.16015370420437844,439,16.34573542150922,0.03723402146129663,True,0.6958205075598188,True
2h,5,20,3.0,15109,0.06316718929195829,954.3930630121979,0.5009596928982726,1.1872261682433365,18,4.801992591894768,0.266777366216376,627,-26.392643647997996,-0.04209353053907176,1653,3.2655761927684814,0.001975545186187829,2042,344.1355421654206,0.16852866903301694,2718,3.7940198004953665,0.0013958866079821068,3772,335.68307736193935,0.0889933927258588,3449,239.69720494741108,0.06949759493981185,830,49.40829360026623,0.05952806457863401,True,0.25115145345974454,False
2h,10,20,3.0,10358,0.06194401266589106,641.6160831932996,0.5055029928557636,1.1817290813321324,14,5.352624247518069,0.38233030339414775,409,-42.90063349925543,-0.10489152444805729,1122,-18.662050378830287,-0.016632843474893303,1399,223.57652072223067,0.15981166599158733,1817,43.49607438343928,0.02393840087145805,2522,144.82396061951707,0.05742425084041121,2548,254.91781637103603,0.10004623876414287,527,31.01177072764414,0.05884586475833803,True,0.397305839190189,False
2h,15,15,2.0,8194,0.06160724808735525,504.8097908277889,0.46814742494508177,1.144650729479368,12,6.20504420352316,0.5170870169602634,294,-11.183098164952565,-0.03803774886038287,870,-25.767465660811624,-0.029617776621622557,1139,189.7145232328929,0.16656235577953724,1404,26.8713183445053,0.01913911562998953,1991,41.78410608122879,0.02098649225576534,2060,229.72351587869073,0.11151626984402463,424,47.46184691271216,0.11193831819035888,True,0.4550694539858058,True
8h,10,15,3.0,3399,0.06070495025259803,206.33612590858073,0.5348631950573698,1.194561466899846,1,0.5259303076910691,0.5259303076910691,74,-8.796701954324128,-0.11887435073410983,228,-24.646673069813428,-0.10809944328865538,597,107.0729012683343,0.17935159341429532,617,-22.098241624844903,-0.03581562662049417,736,-32.81077163277192,-0.044579852761918365,866,170.16339164757804,0.19649352384246888,280,16.92629096673167,0.060451039166898826,True,0.8246902518804227,True
6h,15,20,2.0,3170,0.060699374029397464,192.41701567318995,0.444794952681388,1.1215034330636267,3,1.5561286729080366,0.5187095576360122,71,-13.910900563190282,-0.195928176946342,197,-19.232052996728886,-0.09762463450116185,570,45.64763628541491,0.08008357243055247,552,-22.504666260019427,-0.0407693229348178,676,16.55805610752812,0.02449416583953864,821,169.36190956982793,0.20628734417762232,280,14.940904857449512,0.053360374490891115,True,0.8801815628274794,True
