variant,time,event,open_positions,open_risk_amount,equity,portfolio_heat_pct,reserved_margin,cash
T5_1D_LONG_max10,2025-08-22 00:00:00+00:00,entry,6,147.56770065044637,9859.049091805406,1.4967741744292657,1324.2480274198217,8534.801064385583
T5_1D_LONG_max10,2025-08-25 00:00:00+00:00,exit,5,122.99958685259153,9862.04521843358,1.2472016111088966,955.3370917796631,8906.708126653917
T5_1D_LONG_max10,2025-08-25 00:00:00+00:00,exit,4,98.35196412307802,9836.904643249476,0.9998263446680002,802.9130144536266,9033.99162879585
T5_1D_LONG_max10,2025-08-28 00:00:00+00:00,exit,3,73.78385032522318,9819.982968093593,0.7513643411089057,634.8658783879471,9185.117089705645
T5_1D_LONG_max10,2025-08-28 00:00:00+00:00,entry,4,98.33380774545716,9819.98296809359,1.001364341108906,822.9418830189143,8997.041085074678
T5_1D_LONG_max10,2025-09-01 00:00:00+00:00,exit,3,73.76569394760233,9824.836577140068,0.7508083556243227,617.2073728185574,9207.62920432151
T5_1D_LONG_max10,2025-09-08 00:00:00+00:00,entry,4,98.3277853904525,9824.836577140068,1.0008083556243228,784.1026965916843,9040.733880548383
T5_1D_LONG_max10,2025-09-08 00:00:00+00:00,entry,5,122.88987683330268,9824.836577140068,1.2508083556243228,990.6082926138735,8834.228284526194
T5_1D_LONG_max10,2025-09-19 00:00:00+00:00,exit,4,98.3277853904525,9799.78324386836,1.0033669413247008,823.7129688407465,8976.070275027614
T5_1D_LONG_max10,2025-09-22 00:00:00+00:00,exit,3,73.75967159259767,9811.78718142821,0.7517455304392484,559.4450888340424,9252.342092594168
T5_1D_LONG_max10,2025-09-22 00:00:00+00:00,exit,2,49.20971417236369,9816.514912063672,0.5012951603821136,371.3690842030752,9445.145827860597
T5_1D_LONG_max10,2025-09-22 00:00:00+00:00,exit,1,24.647622729513515,9791.461578791965,0.2517256747746382,164.86348818088607,9626.598090611078
T5_1D_LONG_max10,2025-10-01 00:00:00+00:00,entry,2,49.126276676493426,9791.461578791965,0.5017256747746381,764.7429899114414,9026.718588880523
T5_1D_LONG_max10,2025-10-01 00:00:00+00:00,entry,3,73.60493062347334,9791.461578791965,0.7517256747746383,963.0854116812443,8828.37616711072
T5_1D_LONG_max10,2025-10-02 00:00:00+00:00,entry,4,98.08358457045324,9791.461578791965,1.0017256747746381,1212.5699435102272,8578.891635281738
T5_1D_LONG_max10,2025-10-06 00:00:00+00:00,entry,5,122.56223851743316,9791.461578791965,1.2517256747746381,1546.6251911646023,8244.836387627363
T5_1D_LONG_max10,2025-10-09 00:00:00+00:00,exit,4,98.08358457045324,9766.493351766047,1.0042866056189663,1212.5699435102272,8553.92340825582
T5_1D_LONG_max10,2025-10-09 00:00:00+00:00,entry,5,122.49981794986837,9766.493351766047,1.2542866056189665,1492.9716437614466,8273.5217080046
T5_1D_LONG_max10,2025-10-10 00:00:00+00:00,exit,4,98.02116400288845,9741.525124740128,1.00621989624549,893.0921420308912,8848.432982709237
T5_1D_LONG_max10,2025-10-10 00:00:00+00:00,exit,3,73.54251005590854,9716.556897714208,0.7568782937216083,643.6076102019082,9072.9492875123
T5_1D_LONG_max10,2025-10-10 00:00:00+00:00,exit,2,49.126276676493426,9691.652339667206,0.5068926840826024,363.2059099506889,9328.446429716516
T5_1D_LONG_max10,2025-10-13 00:00:00+00:00,entry,3,73.35540752566143,9691.652339667206,0.7568926840826022,471.40609816318624,9220.246241504019
T5_1D_LONG_max10,2025-10-17 00:00:00+00:00,exit,2,49.126276676493426,9666.938626201054,0.5081885649231563,363.2059099506889,9303.732716250364
T5_1D_LONG_max10,2025-10-30 00:00:00+00:00,exit,1,24.647622729513515,9740.002962517283,0.25305559787163956,164.86348818088607,9575.139474336396
T5_1D_LONG_max10,2025-10-31 00:00:00+00:00,entry,2,48.99763013580672,9740.002962517283,0.5030555978716396,300.78271055653136,9439.22025196075
T5_1D_LONG_max10,2025-11-01 00:00:00+00:00,entry,3,73.34763754209993,9740.002962517283,0.7530555978716396,419.3210002199439,9320.681962297338
T5_1D_LONG_max10,2025-11-04 00:00:00+00:00,exit,2,48.99763013580672,9715.165954962864,0.5043416691279158,283.40177784429864,9431.764177118564
T5_1D_LONG_max10,2025-11-04 00:00:00+00:00,entry,3,73.28554502321388,9715.165954962864,0.7543416691279158,412.10363721703817,9303.062317745826
T5_1D_LONG_max10,2025-11-05 00:00:00+00:00,exit,2,48.935537616920676,9765.388034772792,0.5011120648014192,293.56534755362554,9471.822687219166
T5_1D_LONG_max10,2025-11-07 00:00:00+00:00,entry,3,73.34900770385266,9765.388034772792,0.7511120648014193,420.65884322214407,9344.729191550648
T5_1D_LONG_max10,2025-11-07 00:00:00+00:00,entry,4,97.76247779078463,9765.388034772792,1.0011120648014193,571.0675543205203,9194.320480452272
T5_1D_LONG_max10,2025-11-08 00:00:00+00:00,exit,3,73.34900770385266,9740.486295284121,0.7530322971591752,443.9740586520019,9296.51223663212
T5_1D_LONG_max10,2025-11-09 00:00:00+00:00,entry,4,97.70022344206296,9740.486295284121,1.0030322971591752,590.0643255821071,9150.421969702014
T5_1D_LONG_max10,2025-11-10 00:00:00+00:00,entry,5,122.05143918027326,9740.486295284121,1.2530322971591752,747.9863886741244,8992.499906609997
T5_1D_LONG_max10,2025-11-11 00:00:00+00:00,exit,4,97.40381645075975,11447.29222296699,0.8508895776709188,583.1229004932384,10864.169322473752
T5_1D_LONG_max10,2025-11-11 00:00:00+00:00,exit,3,73.1159015633526,11474.91682123744,0.6371802314769883,454.42104112049884,11020.495780116942
T5_1D_LONG_max10,2025-11-12 00:00:00+00:00,exit,2,48.76468582514228,11450.078581184467,0.4258895297476444,296.4989780284816,11153.579603155986
T5_1D_LONG_max10,2025-11-14 00:00:00+00:00,exit,1,24.351215738210303,11425.176841695797,0.21313644484995073,146.09026693010523,11279.086574765692
T5_1D_LONG_max10,2025-11-17 00:00:00+00:00,exit,0,0.0,11400.338601642823,0.0,0.0,11400.338601642823
T5_1D_LONG_max10,2025-11-22 00:00:00+00:00,entry,1,28.50084650410706,11400.338601642823,0.25,185.9138746934295,11214.424726949394
T5_1D_LONG_max10,2025-12-15 00:00:00+00:00,exit,0,0.0,11392.889070039335,0.0,0.0,11392.889070039335
T5_1D_LONG_max10,2025-12-19 00:00:00+00:00,entry,1,28.48222267509834,11392.889070039335,0.25,248.63258161581052,11144.256488423525
T5_1D_LONG_max10,2025-12-27 00:00:00+00:00,entry,2,56.96444535019668,11392.889070039337,0.49999999999999994,439.19451257184096,10953.694557467496
T5_1D_LONG_max10,2025-12-30 00:00:00+00:00,entry,3,85.44666802529503,11392.889070039337,0.75,642.252739390972,10750.636330648365
T5_1D_LONG_max10,2026-01-03 00:00:00+00:00,entry,4,113.92889070039337,11392.889070039339,0.9999999999999999,1576.2529796336598,9816.636090405678
T5_1D_LONG_max10,2026-01-04 00:00:00+00:00,entry,5,142.4111133754917,11392.889070039339,1.2499999999999998,2177.839637369686,9215.049432669652
T5_1D_LONG_max10,2026-01-05 00:00:00+00:00,entry,6,170.89333605059005,11392.889070039339,1.4999999999999998,2591.3501822249614,8801.538887814377
T5_1D_LONG_max10,2026-01-07 00:00:00+00:00,exit,5,142.4111133754917,11375.120482078895,1.2519525714022584,2400.788251268931,8974.332230809965
T5_1D_LONG_max10,2026-01-07 00:00:00+00:00,exit,4,113.92889070039337,11346.068614950296,1.0041265795825831,1987.2777064136556,9358.790908536641
T5_1D_LONG_max10,2026-01-13 00:00:00+00:00,entry,5,142.2940622377691,11346.068614950296,1.2541265795825831,2169.1078728883535,9176.960742061943
T5_1D_LONG_max10,2026-01-14 00:00:00+00:00,exit,4,113.81183956267077,11334.55738625222,1.004113664823949,1920.475291272543,9414.082094979676
T5_1D_LONG_max10,2026-01-14 00:00:00+00:00,entry,5,142.14823302830132,11334.55738625222,1.254113664823949,2121.4411411368887,9213.11624511533
T5_1D_LONG_max10,2026-01-18 00:00:00+00:00,exit,4,113.81183956267077,11305.654264917277,1.0066807006105059,1920.475291272543,9385.178973644734
T5_1D_LONG_max10,2026-01-20 00:00:00+00:00,exit,3,85.32961688757243,11366.367432566403,0.7507202049714657,1717.417064453412,9648.950368112992
T5_1D_LONG_max10,2026-01-20 00:00:00+00:00,exit,2,56.847394212474086,11370.221334582251,0.49996734926851527,783.416824210724,10586.804510371527
T5_1D_LONG_max10,2026-01-20 00:00:00+00:00,exit,1,28.36517153737574,11362.106914806975,0.2496471099071472,181.8301664746979,11180.276748332277
