variant,trade_id,symbol,side,cluster,beta_bucket,entry_time,entry_price,initial_stop,final_stop,net_r,risk_amount,max_same_side,max_per_cluster,max_beta_cluster,equity_before_entry,heat_before_entry_pct,exit_time,pnl_usdt,equity_after_exit,drawdown_pct,open_after_exit
ACT4_ATR3,581,BNB/USDT,LONG,EXCHANGE,OTHER_BETA,2026-05-11 18:00:00+00:00,670.6,653.6114285714286,653.6114285714286,-1.0,23.995078797404368,5,2,3,9598.031518961747,1.014572493051351,2026-05-12 12:00:00+00:00,-23.995078797404368,9617.00908959988,-8.26448480023807,2
ACT4_ATR3,3940,1INCH/USDT,LONG,DEFI,HIGH_CRYPTO_BETA,2026-05-08 12:00:00+00:00,0.0997,0.0964142857142857,0.0964142857142857,-1.0,24.240071181272267,5,2,3,9696.028472508906,1.0200648394151575,2026-05-14 00:00:00+00:00,-24.240071181272267,9592.769018418609,-8.49570797966686,3
ACT4_ATR3,4733,ACH/USDT,LONG,ALT_OTHER,OTHER_BETA,2026-05-02 18:00:00+00:00,0.0082,0.0074,0.0074,-1.0,24.230928549255715,5,2,3,9692.371419702285,1.0248451609269833,2026-05-16 06:00:00+00:00,-24.230928549255715,9568.538089869353,-8.726843948607394,3
ACT4_ATR3,582,BNB/USDT,LONG,EXCHANGE,OTHER_BETA,2026-05-13 00:00:00+00:00,678.15,656.49,656.49,-1.0,24.0425227239997,5,2,3,9617.00908959988,0.5040132465190863,2026-05-16 06:00:00+00:00,-24.0425227239997,9544.495567145354,-8.956182736606795,2
ACT4_ATR3,1407,DOGE/USDT,LONG,MEME,HIGH_CRYPTO_BETA,2026-05-14 00:00:00+00:00,0.11511,0.10922,0.10922,-1.0,23.981922546046523,5,2,3,9592.769018418609,0.7538592231127919,2026-05-16 06:00:00+00:00,-23.981922546046523,9520.513644599307,-9.184943466657632,1
ACT4_ATR3,7342,APE/USDT,SHORT,ALT_OTHER,OTHER_BETA,2026-05-13 12:00:00+00:00,0.1496,0.1600571428571428,0.1600571428571428,-1.0,24.0425227239997,5,2,3,9617.00908959988,0.7540132465190862,2026-05-17 12:00:00+00:00,-24.0425227239997,9496.471121875307,-9.414282254657033,0
ACT4_ATR3,8703,AT/USDT,SHORT,ALT_OTHER,OTHER_BETA,2026-05-18 18:00:00+00:00,0.1097,0.1247857142857142,0.1247857142857142,-1.0,23.74117780468827,5,2,3,9496.471121875307,0.0,2026-05-19 00:00:00+00:00,-23.74117780468827,9472.72994407062,-9.640746549020388,0
ACT4_ATR3,6664,ALPINE/USDT,LONG,ALT_OTHER,OTHER_BETA,2025-09-27 18:00:00+00:00,6.251,4.764142857142858,10.839714285714283,3.0861837048424285,25.0,5,2,5,10000.0,0.0,2025-09-30 12:00:00+00:00,77.15459262106071,10077.15459262106,0.0,2
ACT4_ATR3,560,BNB/USDT,LONG,EXCHANGE,OTHER_BETA,2025-09-29 18:00:00+00:00,1029.79,995.2114285714284,995.2114285714284,-1.0,25.0,5,2,5,10000.0,0.5,2025-09-30 12:00:00+00:00,-25.0,10052.15459262106,-0.2480859033194361,1
ACT4_ATR3,7507,AR/USDT,SHORT,ALT_OTHER,OTHER_BETA,2025-09-30 12:00:00+00:00,5.38,5.648571428571429,5.648571428571429,-1.0,25.13038648155265,5,2,5,10052.15459262106,0.24870290015586946,2025-10-01 00:00:00+00:00,-25.13038648155265,10027.024206139507,-0.49746568856113804,4
