symbol,side,timeframe,filter_mode,keltner_n,keltner_mult,stop_mult,entry_time,exit_time,entry_price,exit_price,initial_stop,initial_risk,net_r,exit_reason
ASTR/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:52.320000+00:00,1970-01-01 00:28:53.702400+00:00,0.0767,0.06453,0.06453,0.012169999999999997,-1.0000000000000002,stop
ATA/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:32.188800+00:00,1970-01-01 00:28:32.275200+00:00,0.248,0.19822,0.19822,0.04978,-0.9999999999999999,stop
ATA/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:53.184000+00:00,1970-01-01 00:28:53.702400+00:00,0.1409,0.11878999999999999,0.11878999999999999,0.022110000000000005,-1.0,stop
ATA/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:55.344000+00:00,1970-01-01 00:28:55.430400+00:00,0.2055,0.16405999999999998,0.16405999999999998,0.04144,-1.0000000000000002,stop
ATA/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:55.689600+00:00,1970-01-01 00:28:56.294400+00:00,0.1869,0.1563,0.14162000000000002,0.04528,-0.6757950530035339,midline_exit
ATM/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:37.459200+00:00,1970-01-01 00:28:37.718400+00:00,3.535,3.0683000000000002,3.0683000000000002,0.4667,-0.9999999999999998,stop
ATM/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:48.259200+00:00,1970-01-01 00:28:49.382400+00:00,2.261,2.086,1.9587,0.3023,-0.5788951372808477,midline_exit
ATM/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:53.616000+00:00,1970-01-01 00:28:53.702400+00:00,2.517,2.234,2.234,0.2829999999999999,-1.0,stop
ATM/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:13.574400+00:00,1970-01-01 00:29:15.388800+00:00,1.508,1.481,1.3057999999999998,0.20220000000000007,-0.1335311572700292,midline_exit
ATM/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:30.681600+00:00,1970-01-01 00:29:30.768000+00:00,1.357,1.1648,1.1648,0.1922,-0.9999999999999996,stop
ATM/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:31.286400+00:00,1970-01-01 00:29:32.236800+00:00,1.503,1.315,1.1349,0.3681,-0.5107307796794348,midline_exit
ATOM/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:51.715200+00:00,1970-01-01 00:28:53.702400+00:00,6.122,8.395,5.3731,0.7489000000000002,3.0351181733208694,midline_exit
ATOM/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:06.835200+00:00,1970-01-01 00:29:07.267200+00:00,5.384,4.8822,4.8822,0.5018,-1.0000000000000004,stop
ATOM/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:12.969600+00:00,1970-01-01 00:29:13.228800+00:00,5.174,4.683700000000001,4.683700000000001,0.4902999999999997,-0.9999999999999997,stop
AUCTION/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:36.940800+00:00,1970-01-01 00:28:37.718400+00:00,24.26,20.149,20.149,4.1110000000000015,-0.9999999999999998,stop
AUCTION/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:44.112000+00:00,1970-01-01 00:28:44.544000+00:00,20.21,16.909,16.909,3.3010000000000006,-1.0000000000000004,stop
AUCTION/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:52.924800+00:00,1970-01-01 00:28:53.702400+00:00,18.21,15.418000000000001,15.418000000000001,2.7920000000000003,-0.9999999999999999,stop
AUCTION/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:00.441600+00:00,1970-01-01 00:29:00.787200+00:00,16.14,13.338000000000001,13.338000000000001,2.8019999999999996,-1.0,stop
AUCTION/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:01.564800+00:00,1970-01-01 00:29:02.688000+00:00,19.69,20.74,15.681000000000001,4.009,0.2619107009229227,midline_exit
AUCTION/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:29.299200+00:00,1970-01-01 00:29:29.385600+00:00,8.41,7.415,7.415,0.9950000000000003,-0.9999999999999998,stop
AUDIO/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:36.422400+00:00,1970-01-01 00:28:37.632000+00:00,0.2088,0.1909,0.18346,0.02534000000000001,-0.7063930544593536,midline_exit
AUDIO/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:53.184000+00:00,1970-01-01 00:28:53.702400+00:00,0.2145,0.17942999999999998,0.17942999999999998,0.035070000000000004,-1.0000000000000004,stop
AVA/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:37.632000+00:00,1970-01-01 00:28:38.064000+00:00,0.8318,0.74694,0.74694,0.08485999999999998,-0.9999999999999996,stop
AVA/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:53.011200+00:00,1970-01-01 00:28:54.739200+00:00,0.688,1.2527,0.5861,0.10189999999999999,5.541707556427871,midline_exit
AVA/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:12.537600+00:00,1970-01-01 00:29:13.315200+00:00,0.6348,0.5739500000000001,0.5739500000000001,0.06084999999999998,-0.9999999999999997,stop
AVAX/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:47.395200+00:00,1970-01-01 00:28:47.740800+00:00,30.43,27.319,27.319,3.1110000000000007,-1.0,stop
AVAX/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:51.110400+00:00,1970-01-01 00:28:53.702400+00:00,30.36,45.02,27.241,3.1190000000000007,4.700224430907342,midline_exit
AVAX/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:12.710400+00:00,1970-01-01 00:29:13.833600+00:00,23.91,23.31,21.499000000000002,2.4109999999999987,-0.24885939444214092,midline_exit
AVAX/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:17.462400+00:00,1970-01-01 00:29:18.758400+00:00,29.48,28.64,26.261,3.219,-0.26095060577819196,midline_exit
AWE/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:30.336000+00:00,1970-01-01 00:29:31.459200+00:00,0.07503,0.066224,0.066224,0.008806,-0.9999999999999994,stop
AXL/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:53.184000+00:00,1970-01-01 00:28:53.702400+00:00,1.1237,0.9325999999999999,0.9325999999999999,0.1911,-1.0000000000000002,stop
AXL/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:09.513600+00:00,1970-01-01 00:29:09.686400+00:00,0.5105,0.43956999999999996,0.43956999999999996,0.07093,-0.9999999999999998,stop
AXL/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:13.401600+00:00,1970-01-01 00:29:13.660800+00:00,0.4473,0.37948,0.37948,0.06781999999999999,-1.0,stop
AXS/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:51.283200+00:00,1970-01-01 00:28:51.456000+00:00,5.824,5.1781,5.1781,0.6459000000000001,-1.0,stop
AXS/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:51.715200+00:00,1970-01-01 00:28:53.702400+00:00,6.11,7.634,5.281,0.8290000000000003,1.8383594692400476,midline_exit
AXS/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:28.608000+00:00,1970-01-01 00:29:28.780800+00:00,1.979,1.6975000000000002,1.6975000000000002,0.2815,-0.9999999999999996,stop
AXS/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:28.867200+00:00,1970-01-01 00:29:29.817600+00:00,2.104,1.818,1.6835,0.4205,-0.6801426872770512,midline_exit
AXS/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:37.075200+00:00,1970-01-01 00:29:37.161600+00:00,1.578,1.4041000000000001,1.4041000000000001,0.17389999999999994,-1.0,stop
AXS/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:37.334400+00:00,1970-01-01 00:29:37.852800+00:00,1.509,1.3031,1.3031,0.20589999999999997,-1.0,stop
BCH/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:31.497600+00:00,1970-01-01 00:28:32.880000+00:00,539.1,533.2,447.54,91.55999999999999,-0.06443861948449081,midline_exit
BCH/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:48.864000+00:00,1970-01-01 00:28:49.641600+00:00,369.6,338.65000000000003,338.65000000000003,30.95000000000001,-0.9999999999999993,stop
BCH/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:51.196800+00:00,1970-01-01 00:28:53.788800+00:00,441.3,516.2,393.36,47.93999999999998,1.5623696287025461,midline_exit
BCH/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:06.662400+00:00,1970-01-01 00:29:07.612800+00:00,421.8,378.17,378.17,43.63000000000001,-0.9999999999999997,stop
BCH/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:10.291200+00:00,1970-01-01 00:29:10.550400+00:00,497.1,446.40000000000003,446.40000000000003,50.699999999999974,-1.0000000000000002,stop
BCH/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:13.574400+00:00,1970-01-01 00:29:14.006400+00:00,590.0,533.37,533.37,56.63000000000002,-0.9999999999999997,stop
BNB/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:37.459200+00:00,1970-01-01 00:28:37.977600+00:00,685.7,645.6,645.6,40.1,-1.0000000000000004,stop
BNB/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:47.049600+00:00,1970-01-01 00:28:47.654400+00:00,604.5,567.4,560.37,44.13000000000004,-0.8406979379107181,midline_exit
BNB/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:51.283200+00:00,1970-01-01 00:28:51.369600+00:00,659.63,613.632,613.632,45.998000000000005,-1.0000000000000009,stop
BNB/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:53.184000+00:00,1970-01-01 00:28:53.702400+00:00,734.64,660.701,660.701,73.939,-0.9999999999999997,stop
BNB/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:06.662400+00:00,1970-01-01 00:29:08.563200+00:00,629.17,655.36,602.953,26.216999999999995,0.9989701338825975,midline_exit
