entry_day,day_name,hold_bars,side,filter_mode,trades,avg_r,total_r,win_rate,asset_coverage,n_yr_pass,n_yr_counted,yr_2022,yr_2023,yr_2024,yr_2025,pass_cost_floor,zone_pass_rate,stability_zone_pass,stability_pass
3,Thu,2,SHORT,none,6318,0.0437300361073183,276.286368126037,0.538144982589427,0.7777777777777778,1,2,,,False,True,False,0.0,False,False
3,Thu,3,LONG,ema200_price,1591,-0.003725287217628048,-5.926931963246224,0.46951602765556255,0.3076923076923077,1,2,,,True,False,False,0.0,False,False
3,Thu,3,LONG,none,6318,-0.0029478496049823353,-18.624513804278394,0.4647040202595758,0.3968253968253968,1,2,,,True,False,False,0.0,False,False
3,Thu,3,SHORT,ema200_price,4727,0.0026861818999433357,12.697581841032148,0.5312037232917284,0.5238095238095238,1,2,,,False,True,False,0.0,False,False
3,Thu,3,SHORT,none,6318,0.0029478496049823353,18.624513804278394,0.5308641975308642,0.6031746031746031,1,2,,,False,True,False,0.0,False,False
3,Thu,4,LONG,ema200_price,1591,0.057151240064914045,90.92762294327825,0.47580138277812695,0.46153846153846156,1,2,,,True,False,False,0.0,False,False
3,Thu,4,LONG,none,6318,-0.06525963443927281,-412.3103703873256,0.43289015511237733,0.14285714285714285,1,2,,,True,False,False,0.0,False,False
3,Thu,4,SHORT,ema200_price,4727,0.10646033283913768,503.23799333060384,0.5792257245610324,0.9365079365079365,1,2,,,False,True,False,0.0,False,False
3,Thu,4,SHORT,none,6318,0.06525963443927281,412.3103703873256,0.5648939537828427,0.8571428571428571,1,2,,,False,True,False,0.0,False,False
3,Thu,5,LONG,ema200_price,1591,-0.007006216301158033,-11.146890135142431,0.4406033940917662,0.34615384615384615,1,2,,,True,False,False,0.0,False,False
3,Thu,5,LONG,none,6318,-0.07135824708600241,-450.8414050893632,0.42371003482114594,0.20634920634920634,1,2,,,True,False,False,0.0,False,False
3,Thu,5,SHORT,ema200_price,4727,0.09301766764421852,439.69451495422095,0.5792257245610324,0.7936507936507936,1,2,,,False,True,False,0.0,False,False
3,Thu,5,SHORT,none,6318,0.07135824708600241,450.8414050893632,0.5742323520101298,0.7936507936507936,1,2,,,False,True,False,0.0,False,False
4,Fri,1,LONG,ema200_price,1579,-0.004642521282715585,-7.330541105407908,0.5079164027865738,0.40384615384615385,1,2,,,False,True,False,0.0,False,False
4,Fri,1,LONG,none,6319,0.016649628502076925,105.2090025046241,0.5325209685076753,0.5714285714285714,1,2,,,True,False,False,0.0,False,False
4,Fri,1,SHORT,ema200_price,4740,-0.0237425197489519,-112.53954361003201,0.44789029535864977,0.31746031746031744,1,2,,,False,True,False,0.0,False,False
4,Fri,1,SHORT,none,6319,-0.016649628502076925,-105.2090025046241,0.4587751226459883,0.42857142857142855,1,2,,,False,True,False,0.0,False,False
4,Fri,2,LONG,ema200_price,1579,0.01137847986056311,17.966619699829153,0.5047498416719443,0.36538461538461536,1,2,,,True,False,False,0.0,False,False
4,Fri,2,LONG,none,6319,0.05689420028245985,359.5144515848638,0.5312549454027536,0.7777777777777778,2,2,,,True,True,False,0.0,False,False
