pool,entry_date,exit_date,symbol,system,entry_price,exit_price,bars_held,net_r,pnl_usdt,exit_reason,regime,risk_pct
B,2024-04-27,2024-05-01,DOGE_USDT,ConsecDownDays,0.14776,0.12273429,3,-1.0,-8.7518,stop,MIXED,0.25
B,2024-04-13,2024-05-04,BCH_USDT,ConsecDownDays,479.6,462.8,20,-0.1147,-1.0034,time_exit,MIXED,0.25
B,2024-04-13,2024-05-04,GRT_USDT,ConsecDownDays,0.2346,0.2753,20,0.6437,5.6335,time_exit,MIXED,0.25
B,2024-04-13,2024-05-04,ICP_USDT,ConsecDownDays,12.348,13.164,20,0.247,2.1616,time_exit,MIXED,0.25
B,2024-04-13,2024-05-04,NEAR_USDT,ConsecDownDays,5.215,6.864,20,1.0387,9.0904,time_exit,MIXED,0.25
B,2024-04-28,2024-05-19,HBAR_USDT,ConsecDownDays,0.1035,0.111,20,0.2224,1.9461,time_exit,MIXED,0.25
B,2024-04-30,2024-05-21,LPT_USDT,ConsecDownDays,12.376,20.672,20,2.6434,23.1342,time_exit,BULL,0.25
B,2024-05-01,2024-05-22,DOGE_USDT,ConsecDownDays,0.13021,0.16628,20,1.6972,14.8163,time_exit,BULL,0.25
B,2024-05-08,2024-05-29,ICP_USDT,ConsecDownDays,12.024,12.073,20,0.0285,0.2495,time_exit,BULL,0.25
B,2024-05-14,2024-06-04,ARKM_USDT,ConsecDownDays,2.2341,2.697,20,0.8247,7.2321,time_exit,BULL,0.25
B,2024-05-14,2024-06-04,FET_USDT,ConsecDownDays,2.002,2.125,20,0.3335,2.9247,time_exit,BULL,0.25
B,2024-05-14,2024-06-04,PENDLE_USDT,ConsecDownDays,3.88,6.125,20,2.9308,25.7021,time_exit,BULL,0.25
B,2024-05-25,2024-06-07,JTO_USDT,ConsecDownDays,3.77,2.97828571,12,-1.0,-8.8694,stop,MIXED,0.25
B,2024-05-25,2024-06-07,LTC_USDT,ConsecDownDays,84.98,78.50285714,12,-1.0,-8.8694,stop,MIXED,0.25
B,2024-06-01,2024-06-07,HBAR_USDT,ConsecDownDays,0.1,0.09015714,5,-1.0,-8.87,stop,MIXED,0.25
B,2024-06-21,2024-06-24,BTC_USDT,ConsecDownDays,64143.56,60680.30857143,2,-1.0,-8.8931,stop,MIXED,0.25
B,2024-06-10,2024-07-01,PENDLE_USDT,ConsecDownDays,5.224,4.985,20,-0.2729,-2.4271,time_exit,MIXED,0.25
B,2024-06-11,2024-07-02,BNB_USDT,ConsecDownDays,602.5,580.1,20,-0.3901,-3.4696,time_exit,MIXED,0.25
