symbol,entry_time,exit_time,net_r,pnl_usd,equity_after,year
PENGU_USDT,2025-09-23 00:00:00+00:00,2025-10-10 00:00:00+00:00,-1.0,-30.62,12217.7,2025
ETH_USDT,2025-09-25 00:00:00+00:00,2025-10-10 00:00:00+00:00,-1.0,-30.54,12187.16,2025
SOL_USDT,2025-09-25 00:00:00+00:00,2025-10-15 00:00:00+00:00,0.0447,1.36,12188.52,2025
ZEC_USDT,2025-10-16 00:00:00+00:00,2025-11-05 00:00:00+00:00,2.5118,76.54,12265.06,2025
BNB_USDT,2025-10-17 00:00:00+00:00,2025-11-06 00:00:00+00:00,-0.4665,-14.3,12250.75,2025
BNB_USDT,2025-11-14 00:00:00+00:00,2025-11-21 00:00:00+00:00,-1.0,-30.63,12220.13,2025
DASH_USDT,2025-12-01 00:00:00+00:00,2025-12-21 00:00:00+00:00,-0.6097,-18.63,12201.5,2025
BCH_USDT,2025-12-24 00:00:00+00:00,2026-01-13 00:00:00+00:00,0.7103,21.67,12223.17,2025
ZEC_USDT,2026-01-10 00:00:00+00:00,2026-01-30 00:00:00+00:00,-0.4232,-12.93,12210.23,2026
CHZ_USDT,2026-01-22 00:00:00+00:00,2026-02-05 00:00:00+00:00,-1.0,-30.53,12179.71,2026
ZEC_USDT,2026-04-18 00:00:00+00:00,2026-05-08 00:00:00+00:00,4.4914,136.76,12316.47,2026
