symbol,trades,total_r,avg_r,win_rate,profit_factor,max_dd_r,best_r,worst_r,avg_mfe_r,avg_mae_r,top_month,top_month_pct,step_b_included,step_b_v2_included
KAVA/USDT,19,-7.175595059278981,-0.3776628978567884,0.1578947368421052,0.5311586981288897,-12.26969122277427,3.739428870383819,-1.0000000000000004,1.5080049839774587,-1.12375471449346,2021-02,0.0,True,False
KNC/USDT,16,-0.3176748376916365,-0.0198546773557272,0.3125,0.9706153019370666,-3.81089337761002,3.8892497205585177,-1.0000000000000002,2.184439030711248,-1.2827514544928815,2024-03,0.0,True,False
KSM/USDT,11,5.8608215095458505,0.5328019554132591,0.2727272727272727,1.91304239118744,-3.058356797823405,5.924074988056399,-1.0,2.855978999305315,-1.05540677070763,2023-12,1.010792595953916,True,False
LAZIO/USDT,12,-8.093628987240335,-0.6744690822700279,0.0833333333333333,0.177694086836027,-9.842600980574993,1.7489719933346572,-1.0000000000000002,1.3877496656168775,-1.1646375689788369,2022-08,0.0,True,False
LINK/USDT,23,7.369503313647859,0.3204131875499069,0.3478260869565217,1.5447895707546857,-6.527247416720991,10.999426294848565,-1.0000000000000009,2.3736812530585865,-0.9781299953220708,2023-11,1.4925600582169922,True,False
LPT/USDT,13,4.344655121078119,0.3342042400829322,0.2307692307692307,1.434465512107812,-4.999999999999999,10.59591410830267,-1.0000000000000009,2.5663265990834674,-1.3256605493391902,2024-02,2.4388389441768425,True,False
LSK/USDT,15,6.0348642639085766,0.4023242842605717,0.4,1.7392211000629834,-5.283391318587232,4.409582631242848,-1.0000000000000002,2.8131833760067275,-0.8346186658516019,2024-01,0.6021354210973312,True,False
LTC/USDT,26,-4.822659344879057,-0.1854868978799637,0.3076923076923077,0.7086276598543165,-11.262084686685396,2.5079162209330472,-1.0000000000000009,1.765801038938276,-1.1837948961176694,2025-08,0.0,True,False
MANA/USDT,17,26.21919337239786,1.5423054924939918,0.2941176470588235,3.424075487527716,-6.662860902181336,21.864875072482352,-1.0000000000000004,4.208292413353454,-1.019531199432369,2021-10,0.8339263058908785,True,False
MASK/USDT,17,-9.855487557421894,-0.5797345622012878,0.1176470588235294,0.292808435550198,-9.206722951490647,3.169184590677233,-1.0000000000000002,1.7326501896747304,-1.3473972639601195,2023-02,0.0,True,False
