symbol,base,bars,first_date,last_date,excluded,included
WBTC/USDT,WBTC,0,,,wrapped,False
WCT/USDT,WCT,409,2025-04-15,2026-05-28,insufficient_bars,False
WIF/USDT,WIF,815,2024-03-05,2026-05-28,insufficient_bars,False
WIN/USDT,WIN,2200,2020-05-20,2026-05-28,,True
WLD/USDT,WLD,1040,2023-07-24,2026-05-28,insufficient_bars,False
WLFI/USDT,WLFI,270,2025-09-01,2026-05-28,insufficient_bars,False
WOO/USDT,WOO,1571,2022-02-08,2026-05-28,,True
XAI/USDT,XAI,871,2024-01-09,2026-05-28,insufficient_bars,False
XAUT/USDT,XAUT,64,2026-03-26,2026-05-28,insufficient_bars,False
XEC/USDT,XEC,1729,2021-09-03,2026-05-28,,True
XLM/USDT,XLM,2200,2020-05-20,2026-05-28,,True
XNO/USDT,XNO,1582,2022-01-28,2026-05-28,,True
XPL/USDT,XPL,246,2025-09-25,2026-05-28,insufficient_bars,False
XRP/USDT,XRP,2200,2020-05-20,2026-05-28,,True
XTZ/USDT,XTZ,2200,2020-05-20,2026-05-28,,True
XUSD/USDT,XUSD,436,2025-03-19,2026-05-28,insufficient_bars,False
XVG/USDT,XVG,1818,2021-06-06,2026-05-28,,True
XVS/USDT,XVS,2061,2020-10-06,2026-05-28,,True
YB/USDT,YB,226,2025-10-15,2026-05-28,insufficient_bars,False
YFI/USDT,YFI,2118,2020-08-10,2026-05-28,,True
YGG/USDT,YGG,1708,2021-09-24,2026-05-28,,True
ZAMA/USDT,ZAMA,116,2026-02-02,2026-05-28,insufficient_bars,False
ZBT/USDT,ZBT,224,2025-10-17,2026-05-28,insufficient_bars,False
ZEC/USDT,ZEC,2200,2020-05-20,2026-05-28,,True
ZEN/USDT,ZEN,2153,2020-07-06,2026-05-28,,True
ZIL/USDT,ZIL,2200,2020-05-20,2026-05-28,,True
ZK/USDT,ZK,711,2024-06-17,2026-05-28,insufficient_bars,False
ZKC/USDT,ZKC,256,2025-09-15,2026-05-28,insufficient_bars,False
ZKP/USDT,ZKP,142,2026-01-07,2026-05-28,insufficient_bars,False
ZRO/USDT,ZRO,708,2024-06-20,2026-05-28,insufficient_bars,False
ZRX/USDT,ZRX,2200,2020-05-20,2026-05-28,,True
币安人生/USDT,币安人生,142,2026-01-07,2026-05-28,insufficient_bars,False
