symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,initial_risk,exit_reason,bars_held,net_r,mae_r,mfe_r,month
ZEC/USDT,2024-08-11 00:00:00+00:00,2024-08-26 00:00:00+00:00,40.383825163493185,36.74,33.854426471438664,6.529398692054519,midline_exit,16,-0.5580644306385018,-0.6101366069652042,0.7667129964967094,2024-08
DEXE/USDT,2024-09-25 00:00:00+00:00,2024-10-01 00:00:00+00:00,8.80645407512088,7.890086676087926,7.890086676087926,0.9163673990329546,initial_stop,7,-0.9999999999999998,-1.2587244770363117,0.660811291975418,2024-10
FET/USDT,2024-09-22 00:00:00+00:00,2024-10-01 00:00:00+00:00,1.5485581220944218,1.486,1.313023098849796,0.2355350232446259,midline_exit,10,-0.2656000845761657,-0.5797784134743861,0.8170414541947284,2024-10
AVAX/USDT,2024-09-29 00:00:00+00:00,2024-10-01 00:00:00+00:00,29.021842440800544,25.836581967204868,25.836581967204868,3.185260473595675,initial_stop,3,-1.0000000000000002,-1.262641618837688,0.03081617971689833,2024-10
SOL/USDT,2024-09-22 00:00:00+00:00,2024-10-02 00:00:00+00:00,142.08725149512486,140.18,126.46526345612381,15.621988039001053,midline_exit,11,-0.12208762997150603,-0.22258700278375065,1.260578900438999,2024-10
ARDR/USDT,2024-09-23 00:00:00+00:00,2024-10-02 00:00:00+00:00,0.08088686593671077,0.07198179343039683,0.07198179343039683,0.008905072506313939,initial_stop,10,-0.9999999999999996,-1.0305211922984483,1.3602510316115553,2024-10
NEAR/USDT,2024-09-25 00:00:00+00:00,2024-10-03 00:00:00+00:00,5.190397626316965,4.49757863685269,4.49757863685269,0.692818989464275,initial_stop,9,-0.9999999999999999,-1.1148620896119268,0.9823668000343257,2024-10
TRX/USDT,2024-09-28 00:00:00+00:00,2024-10-19 00:00:00+00:00,0.15431558773575327,0.1567,0.14884028962177948,0.005475298113973806,midline_exit,22,0.43548537716354657,-0.2402769143100515,1.768746114395237,2024-10
SOL/USDT,2024-10-25 00:00:00+00:00,2024-11-04 00:00:00+00:00,172.31446211125015,156.43015900125127,156.43015900125127,15.884303109998877,initial_stop,11,-1.0000000000000004,-1.0831109172438447,0.696633513734971,2024-11
TRX/USDT,2024-10-25 00:00:00+00:00,2024-11-05 00:00:00+00:00,0.1633758986918362,0.1602,0.15838308822652572,0.004992810465310483,midline_exit,12,-0.6360943828935605,-0.716209581092885,1.4268719707389899,2024-11
ETC/USDT,2024-11-12 00:00:00+00:00,2024-11-13 00:00:00+00:00,23.88609886840716,21.694889815664432,21.694889815664432,2.1912090527427277,initial_stop,2,-1.0000000000000002,-1.2395434680262152,0.0,2024-11
FET/USDT,2024-11-12 00:00:00+00:00,2024-11-13 00:00:00+00:00,1.5401646100348338,1.3174814903135037,1.3174814903135037,0.22268311972133023,initial_stop,2,-0.9999999999999997,-1.496137697602594,0.0,2024-11
ZEC/USDT,2024-11-08 00:00:00+00:00,2024-11-14 00:00:00+00:00,42.620979975748526,36.94881978173673,36.94881978173673,5.672160194011798,initial_stop,7,-0.9999999999999996,-1.0967567492744879,0.9835794183213213,2024-11
JST/USDT,2024-11-12 00:00:00+00:00,2024-11-15 00:00:00+00:00,0.03053109461353361,0.039231391583860936,0.028939851521802496,0.0015912430917311136,chandelier_stop,4,5.4676102071005825,-0.032109872966062665,9.627005116987469,2024-11
