scenario,trade_id,symbol,side,entry_time,entry_price,exit_price,initial_stop,final_stop,initial_risk_per_unit,net_r,bars_held,max_favorable_r,chandelier_active,risk_amount,equity_before_entry,heat_before_entry_pct,heat_after_entry_pct,same_side_before_entry,open_positions_before_entry,exit_time,realized_r,pnl_usdt,equity_after_exit,peak_equity,drawdown_pct,open_positions_after_exit
SAME_SIDE_CAP4,193,ALCX/USDT,LONG,2025-11-06 00:00:00+00:00,13.92,10.448571428571428,10.448571428571428,10.448571428571428,3.4714285714285715,-1.0,3,1.1032921810699587,False,25.63821272844939,10255.285091379756,0.7387648490251085,0.9887648490251085,0,3,2025-11-06 18:00:00+00:00,-1.0,-25.63821272844939,10229.646878651307,10316.297888132392,-0.8399428789349588,4
SAME_SIDE_CAP4,181,ARPA/USDT,SHORT,2025-11-03 00:00:00+00:00,0.01671,0.0181557142857142,0.0181557142857142,0.0181557142857142,0.0014457142857142,-1.0,18,1.2173913043478253,False,25.131529038220332,10052.611615288133,1.0064951200063226,1.2564951200063226,3,4,2025-11-07 12:00:00+00:00,-1.0,-25.131529038220332,10204.515349613086,10316.297888132392,-1.0835528377665227,3
SAME_SIDE_CAP4,186,APT/USDT,SHORT,2025-11-03 12:00:00+00:00,2.927,3.171142857142857,3.171142857142857,3.171142857142857,0.2441428571428567,-1.0,16,2.187244002340554,False,25.309740776165068,10123.896310466027,0.9967052031954008,1.246705203195401,3,4,2025-11-07 12:00:00+00:00,-1.0,-25.309740776165068,10179.20560883692,10316.297888132392,-1.3288902742250113,2
SAME_SIDE_CAP4,194,AR/USDT,LONG,2025-11-06 12:00:00+00:00,4.91,6.54,4.141428571428572,6.54,0.7685714285714287,2.1208178438661704,8,4.970260223048327,True,25.63821272844939,10255.285091379756,0.9887648490251085,1.2387648490251086,1,4,2025-11-08 12:00:00+00:00,2.1208178438661704,54.37397903933224,10233.579587876253,10316.297888132392,-0.8018215560767847,3
SAME_SIDE_CAP4,199,UNI/USDT,LONG,2025-11-10 00:00:00+00:00,6.782,8.469999999999999,6.243571428571428,8.469999999999999,0.5384285714285717,3.1350490846378314,3,6.032369328734408,True,25.58394896969063,10233.579587876253,0.9947755596929156,1.2447755596929158,3,4,2025-11-10 18:00:00+00:00,3.1350490846378314,80.2069357988496,10313.786523675102,10316.297888132392,-0.02434365975588264,4
SAME_SIDE_CAP4,196,NEAR/USDT,LONG,2025-11-08 06:00:00+00:00,3.009,2.621142857142857,2.621142857142857,2.621142857142857,0.3878571428571429,-1.0,14,0.3635359116022099,False,25.448014022092302,10179.20560883692,0.5006224090045936,0.7506224090045936,1,2,2025-11-11 18:00:00+00:00,-1.0,-25.448014022092302,10288.33850965301,10316.297888132392,-0.27102143407032736,4
SAME_SIDE_CAP4,201,AAVE/USDT,LONG,2025-11-10 18:00:00+00:00,228.41,211.26,211.26,211.26,17.150000000000006,-1.0,4,0.2239067055393587,False,25.784466309187756,10313.786523675102,0.9870395163622336,1.2370395163622336,3,4,2025-11-11 18:00:00+00:00,-1.0,-25.784466309187756,10262.554043343822,10316.297888132392,-0.5209605749209336,3
SAME_SIDE_CAP4,198,LTC/USDT,LONG,2025-11-08 18:00:00+00:00,106.95,98.21428571428572,98.21428571428572,98.21428571428572,8.73571428571428,-1.0,15,0.7738348323793943,False,25.58394896969063,10233.579587876253,0.7447755596929156,0.9947755596929156,2,3,2025-11-12 12:00:00+00:00,-1.0,-25.58394896969063,10236.970094374132,10316.297888132392,-0.7689560210307357,3
SAME_SIDE_CAP4,203,ASTER/USDT,LONG,2025-11-12 06:00:00+00:00,1.187,1.0667142857142855,1.0667142857142855,1.0667142857142855,0.1202857142857143,-1.0,5,0.1330166270783848,False,25.656385108359554,10262.554043343822,0.7439973936054003,0.9939973936054003,2,3,2025-11-13 12:00:00+00:00,-1.0,-25.656385108359554,10211.313709265773,10316.297888132392,-1.0176536195934303,4
SAME_SIDE_CAP4,204,AVNT/USDT,SHORT,2025-11-12 12:00:00+00:00,0.4863,0.5332285714285714,0.5332285714285714,0.5332285714285714,0.0469285714285713,-1.0,4,0.1768645357686462,False,25.59242523593533,10236.970094374132,0.7465643645915632,0.9965643645915632,1,3,2025-11-13 12:00:00+00:00,-1.0,-25.59242523593533,10185.721284029838,10316.297888132392,-1.2657312295408463,3
