symbol,entry_time,exit_time,net_r,win,bars_held,exit_reason,year
LPT_USDT,2023-03-14 12:00:00,2023-03-17 00:00:00,0.9582,1,15,time_exit,2023
DOGE_USDT,2023-03-14 12:00:00,2023-03-17 00:00:00,0.8092,1,15,time_exit,2023
BCH_USDT,2023-05-15 00:00:00,2023-05-17 12:00:00,1.4662,1,15,time_exit,2023
GRT_USDT,2023-05-15 12:00:00,2023-05-18 00:00:00,0.9037,1,15,time_exit,2023
ZEN_USDT,2023-05-23 08:00:00,2023-05-25 20:00:00,2.5455,1,15,time_exit,2023
SOL_USDT,2023-05-27 20:00:00,2023-05-28 16:00:00,-1.0,0,5,atr_stop,2023
LINK_USDT,2023-05-28 00:00:00,2023-05-28 20:00:00,-1.0,0,5,atr_stop,2023
BTC_USDT,2023-05-28 04:00:00,2023-05-28 16:00:00,-1.0,0,3,atr_stop,2023
ARB_USDT,2023-05-28 04:00:00,2023-05-28 20:00:00,-1.0,0,4,atr_stop,2023
FET_USDT,2023-05-28 04:00:00,2023-05-30 12:00:00,-1.0,0,14,atr_stop,2023
DOT_USDT,2023-05-28 08:00:00,2023-05-28 20:00:00,-1.0,0,3,atr_stop,2023
APT_USDT,2023-05-28 08:00:00,2023-05-30 20:00:00,0.202,1,15,time_exit,2023
ATOM_USDT,2023-05-28 16:00:00,2023-05-28 20:00:00,-1.0,0,1,atr_stop,2023
DOGE_USDT,2023-05-28 20:00:00,2023-05-31 08:00:00,1.8088,1,15,time_exit,2023
BCH_USDT,2023-05-28 20:00:00,2023-05-30 16:00:00,-1.0,0,11,atr_stop,2023
FIL_USDT,2023-05-28 20:00:00,2023-05-30 08:00:00,-1.0,0,9,atr_stop,2023
NEAR_USDT,2023-05-28 20:00:00,2023-05-31 08:00:00,3.5,1,15,time_exit,2023
ZEN_USDT,2023-05-28 20:00:00,2023-05-31 08:00:00,3.434,1,15,time_exit,2023
UNI_USDT,2023-05-29 04:00:00,2023-05-31 16:00:00,2.1754,1,15,time_exit,2023
SOL_USDT,2023-05-29 08:00:00,2023-05-30 08:00:00,-1.0,0,6,atr_stop,2023
APT_USDT,2023-06-18 04:00:00,2023-06-20 16:00:00,-0.1993,0,15,time_exit,2023
ETH_USDT,2023-06-20 16:00:00,2023-06-21 00:00:00,-1.0,0,2,atr_stop,2023
LPT_USDT,2023-06-20 16:00:00,2023-06-21 08:00:00,-1.0,0,4,atr_stop,2023
SOL_USDT,2023-06-20 20:00:00,2023-06-21 00:00:00,-1.0,0,1,atr_stop,2023
AVAX_USDT,2023-06-21 00:00:00,2023-06-21 16:00:00,-1.0,0,4,atr_stop,2023
LTC_USDT,2023-06-21 00:00:00,2023-06-21 04:00:00,-1.0,0,1,atr_stop,2023
SOL_USDT,2023-06-21 04:00:00,2023-06-22 00:00:00,-1.0,0,5,atr_stop,2023
FET_USDT,2023-06-21 08:00:00,2023-06-21 16:00:00,-1.0,0,2,atr_stop,2023
LPT_USDT,2023-06-21 12:00:00,2023-06-22 00:00:00,-1.0,0,3,atr_stop,2023
ICP_USDT,2023-06-21 16:00:00,2023-06-24 04:00:00,-0.2885,0,15,time_exit,2023
LINK_USDT,2023-06-21 16:00:00,2023-06-22 00:00:00,-1.0,0,2,atr_stop,2023
AAVE_USDT,2023-06-21 16:00:00,2023-06-22 00:00:00,-1.0,0,2,atr_stop,2023
GRT_USDT,2023-06-21 16:00:00,2023-06-23 16:00:00,-1.0,0,12,atr_stop,2023
ADA_USDT,2023-06-21 16:00:00,2023-06-22 00:00:00,-1.0,0,2,atr_stop,2023
FET_USDT,2023-06-21 20:00:00,2023-06-22 00:00:00,-1.0,0,1,atr_stop,2023
AVAX_USDT,2023-06-21 20:00:00,2023-06-23 16:00:00,-1.0,0,11,atr_stop,2023
NEAR_USDT,2023-06-22 00:00:00,2023-06-24 04:00:00,-1.0,0,13,atr_stop,2023
FIL_USDT,2023-06-22 00:00:00,2023-06-24 12:00:00,1.0311,1,15,time_exit,2023
DOT_USDT,2023-06-22 00:00:00,2023-06-23 12:00:00,-1.0,0,9,atr_stop,2023
LINK_USDT,2023-06-22 04:00:00,2023-06-23 12:00:00,-1.0,0,8,atr_stop,2023
AAVE_USDT,2023-06-22 04:00:00,2023-06-24 04:00:00,-1.0,0,12,atr_stop,2023
ADA_USDT,2023-06-22 04:00:00,2023-06-24 16:00:00,0.7246,1,15,time_exit,2023
SOL_USDT,2023-06-22 04:00:00,2023-06-24 16:00:00,0.9041,1,15,time_exit,2023
BNB_USDT,2023-07-10 12:00:00,2023-07-13 00:00:00,0.2632,1,15,time_exit,2023
