symbol,entry_time,exit_time,net_r,mae_r,mfe_r,exit_reason,partial_done,month
SC/USDT,2021-11-26 00:00:00+00:00,2021-11-28 00:00:00+00:00,-0.9999999999999998,-1.1227948800293117,0.961221958268996,initial_stop,False,2021-11
DUSK/USDT,2021-11-05 00:00:00+00:00,2021-12-02 00:00:00+00:00,2.2212745437025814,-0.4559458273915826,5.801618380591611,midline_exit,False,2021-12
ZEC/USDT,2021-11-21 00:00:00+00:00,2021-12-04 00:00:00+00:00,-1.0000000000000004,-2.398462020150247,2.0722711854098135,initial_stop,False,2021-12
AVAX/USDT,2021-11-03 00:00:00+00:00,2021-12-04 00:00:00+00:00,1.6467949715080263,-0.32183078871756876,6.723628612242771,midline_exit,False,2021-12
NEAR/USDT,2021-12-11 00:00:00+00:00,2021-12-13 00:00:00+00:00,-1.0000000000000004,-1.204828933556787,0.09254419547887967,initial_stop,False,2021-12
ICX/USDT,2021-12-28 00:00:00+00:00,2021-12-29 00:00:00+00:00,-1.0000000000000004,-1.2430915238853013,0.047549949001077126,initial_stop,False,2021-12
DUSK/USDT,2021-12-13 00:00:00+00:00,2022-01-08 00:00:00+00:00,1.028531812515623,-0.5467686671870273,4.933919109054928,midline_exit,False,2022-01
CELR/USDT,2022-01-15 00:00:00+00:00,2022-01-18 00:00:00+00:00,-1.0000000000000002,-1.0892759976265673,0.21894447552293977,initial_stop,False,2022-01
NEAR/USDT,2022-01-11 00:00:00+00:00,2022-01-21 00:00:00+00:00,-0.9999999999999999,-1.661773738791251,0.6935153853467327,initial_stop,False,2022-01
JST/USDT,2022-03-26 00:00:00+00:00,2022-04-01 00:00:00+00:00,4.897629386897432,-0.5207785527048756,8.457023471158426,chandelier_stop,False,2022-04
CELR/USDT,2022-03-31 00:00:00+00:00,2022-04-02 00:00:00+00:00,-1.0000000000000007,-1.15545252002408,0.8526990137959839,initial_stop,False,2022-04
VET/USDT,2022-03-30 00:00:00+00:00,2022-04-04 00:00:00+00:00,-0.9999999999999996,-1.0112951403040698,0.38516668637155826,initial_stop,False,2022-04
BTC/USDT,2022-03-27 00:00:00+00:00,2022-04-06 00:00:00+00:00,-0.9839294528459827,-0.9972384849523488,0.3664436315229173,midline_exit,False,2022-04
ZRX/USDT,2022-04-03 00:00:00+00:00,2022-04-06 00:00:00+00:00,-0.9999999999999996,-1.533286594878661,0.004311021353923457,initial_stop,False,2022-04
SC/USDT,2022-04-01 00:00:00+00:00,2022-04-06 00:00:00+00:00,-0.9999999999999999,-1.463960501058809,0.6831815671607776,initial_stop,False,2022-04
ARDR/USDT,2022-03-27 00:00:00+00:00,2022-04-06 00:00:00+00:00,-0.903624673066283,-0.969342831107468,2.1563770607263577,midline_exit,False,2022-04
ETC/USDT,2022-03-20 00:00:00+00:00,2022-04-06 00:00:00+00:00,0.05853074241249556,-0.46824593929996766,3.261963298296411,midline_exit,False,2022-04
ZEC/USDT,2022-03-08 00:00:00+00:00,2022-04-06 00:00:00+00:00,1.025675623285616,-0.3692432243828215,3.560234052382515,midline_exit,False,2022-04
FET/USDT,2022-03-29 00:00:00+00:00,2022-04-08 00:00:00+00:00,-0.8328994237845868,-0.8726186159592849,0.8353066475527501,midline_exit,False,2022-04
DUSK/USDT,2022-03-29 00:00:00+00:00,2022-04-08 00:00:00+00:00,-0.9999999999999998,-1.317114657777805,1.1820912982764054,initial_stop,False,2022-04
IOST/USDT,2022-03-26 00:00:00+00:00,2022-04-10 00:00:00+00:00,-0.8264902749304595,-0.8983589944896292,7.017000436959008,midline_exit,False,2022-04
ETH/USDT,2022-03-27 00:00:00+00:00,2022-04-11 00:00:00+00:00,-1.0000000000000007,-1.1532868879115614,0.9498893219139083,initial_stop,False,2022-04
SOL/USDT,2022-03-30 00:00:00+00:00,2022-04-11 00:00:00+00:00,-0.9999999999999998,-1.5348565547542379,1.5328298955710236,initial_stop,False,2022-04
MTL/USDT,2022-04-12 00:00:00+00:00,2022-04-15 00:00:00+00:00,-0.9999999999999997,-1.3689611294008082,1.08339289380537,initial_stop,False,2022-04
ZRX/USDT,2022-04-20 00:00:00+00:00,2022-04-21 00:00:00+00:00,-0.9999999999999998,-1.3314229569551819,0.646625713612981,initial_stop,False,2022-04
NEAR/USDT,2022-03-23 00:00:00+00:00,2022-04-25 00:00:00+00:00,0.9763852242795618,-0.32327007986809275,3.9970427671826054,midline_exit,False,2022-04
MTL/USDT,2022-04-18 00:00:00+00:00,2022-04-30 00:00:00+00:00,-1.0000000000000002,-1.6126052622804077,0.881947227665084,initial_stop,False,2022-04
TRX/USDT,2022-05-04 00:00:00+00:00,2022-05-05 00:00:00+00:00,-1.0,-1.5733824454240146,0.3829170057524114,initial_stop,False,2022-05
ETC/USDT,2022-07-27 00:00:00+00:00,2022-08-19 00:00:00+00:00,0.0,-0.21747563951209284,2.8382790095506794,midline_exit,False,2022-08
HBAR/USDT,2023-01-20 00:00:00+00:00,2023-01-24 00:00:00+00:00,-0.9999999999999993,-1.5864167729034124,0.30846992806455314,initial_stop,False,2023-01
CELR/USDT,2023-01-23 00:00:00+00:00,2023-01-25 00:00:00+00:00,-0.9999999999999999,-1.0521193385965808,0.0,initial_stop,False,2023-01
FET/USDT,2023-01-06 00:00:00+00:00,2023-02-09 00:00:00+00:00,15.98257576893877,-0.020360140154400408,24.64594965690184,chandelier_stop,False,2023-02
CELR/USDT,2023-01-29 00:00:00+00:00,2023-02-09 00:00:00+00:00,-1.0000000000000004,-1.3201039634802831,0.8392993250242048,initial_stop,False,2023-02
VET/USDT,2023-02-07 00:00:00+00:00,2023-02-09 00:00:00+00:00,-0.9999999999999999,-1.1923471670586603,0.29146264083656137,initial_stop,False,2023-02
BTC/USDT,2023-01-20 00:00:00+00:00,2023-02-09 00:00:00+00:00,-0.7184664220388493,-0.8078560332598357,1.3099393705636546,midline_exit,False,2023-02
AVAX/USDT,2023-01-27 00:00:00+00:00,2023-02-09 00:00:00+00:00,-1.0,-1.469732539367393,0.6215092387218499,initial_stop,False,2023-02
ETH/USDT,2023-01-14 00:00:00+00:00,2023-02-10 00:00:00+00:00,-0.42568654329320343,-0.6921450581776011,1.9040344355009169,midline_exit,False,2023-02
DUSK/USDT,2023-01-24 00:00:00+00:00,2023-02-11 00:00:00+00:00,4.133361074903037,-0.6746946211884524,9.118600031819684,chandelier_stop,False,2023-02
